Food,MealType,DietType,Calories,Protein,Fat,Price
Mutton Samosa,Snacks,Non-Veg,414,23,23,38
Parotta + Chicken Salna,Lunch,Non-Veg,808,48,37,122
Set Dosai + Sambar,Breakfast,Veg,352,11,9,91
Pongal + Chutney,Dinner,Veg,397,12,14,106
Parotta + Veg Salna,Dinner,Veg,660,12,30,116
Poha (Aval) + Chutney,Snacks,Veg,241,7,5,35
Chicken Roll / Kathi Roll,Fast Food,Non-Veg,600,36,27,220
Sugarcane Juice,Breakfast,Veg,126,2,1,60
Puttu + Kadala Curry,Breakfast,Veg,472,18,13,150
Idiyappam + Coconut Milk,Breakfast,Veg,336,6,12,130
Fish and Chips,Fast Food,Non-Veg,602,28,22,471
Mutton Biryani,Lunch,Non-Veg,993,43,28,268
Corn Chaat,Snacks,Veg,254,7,4,100
Cheese Veg Burger,Fast Food,Veg,616,19,27,203
Parotta + Veg Salna,Lunch,Veg,686,15,29,130
Chicken Zinger Burger,Fast Food,Non-Veg,694,35,25,160
Parotta + Kurma,Breakfast,Veg,452,18,24,148
Thengai Paal Dosai,Breakfast,Veg,338,9,17,108
Keema Parotta,Breakfast,Non-Veg,746,31,25,226
Chicken Burger,Fast Food,Non-Veg,696,32,20,150
Paneer Tikka Pizza,Fast Food,Veg,788,32,25,591
Variety Rice (Festival Special),Lunch,Veg,552,15,11,96
Vada + Sambar,Snacks,Veg,261,11,19,75
Margherita Pizza,Fast Food,Veg,811,27,32,299
Fresh Lemon Juice,Snacks,Veg,75,1,0,27
Chicken Puff,Snacks,Non-Veg,302,29,23,84
Mutton Meals (Full),Lunch,Non-Veg,970,63,40,233
French Fries,Fast Food,Veg,433,7,16,116
Parotta + Mutton Salna,Dinner,Non-Veg,882,45,44,180
Aappam + Veg Stew,Dinner,Veg,341,13,10,140
Tomato Rice,Lunch,Veg,463,12,12,118
Prawn Masala + Rice,Lunch,Non-Veg,572,51,23,479
Plain Dosai + Chutney,Dinner,Veg,320,10,10,41
Egg Curry + Rice,Dinner,Non-Veg,512,27,20,146
Prawn Masala + Rice,Lunch,Non-Veg,678,36,17,346
Thaen Kaapi (Honey Coffee),Breakfast,Veg,97,2,5,80
Bread + Omelette,Breakfast,Veg,370,9,15,85
Mutton Seekh Roll,Fast Food,Non-Veg,733,45,23,370
Kottu Parotta (Chicken),Lunch,Non-Veg,746,52,32,237
Plain Dosai + Chutney,Dinner,Veg,205,10,11,40
Chicken Roll / Kathi Roll,Fast Food,Non-Veg,567,45,20,218
Mutton Biryani,Dinner,Non-Veg,826,49,43,255
Parotta + Veg Salna,Breakfast,Veg,685,15,24,141
Meals (Full Thali),Lunch,Veg,906,24,12,236
Chicken Biryani (Dindigul Style),Lunch,Non-Veg,726,38,27,342
Egg Fried Rice,Fast Food,Non-Veg,593,23,24,227
Chicken Burger,Fast Food,Non-Veg,576,43,23,139
Chicken Fried Rice,Fast Food,Non-Veg,583,31,15,181
Bajji (Onion/Plantain),Snacks,Veg,240,7,14,36
Samosa,Snacks,Veg,222,5,20,20
Veg Burger,Fast Food,Veg,492,18,22,213
Murukku,Snacks,Veg,382,5,22,44
Kadalai Mittai (Peanut Chikki),Snacks,Veg,283,10,9,23
Egg Fried Rice,Fast Food,Non-Veg,599,32,20,209
Paneer Tikka Pizza,Fast Food,Veg,821,28,34,334
Parotta + Veg Salna,Dinner,Veg,555,15,36,101
Fish Fry + Rice,Lunch,Non-Veg,639,36,30,264
Thengai Paal Dosai,Breakfast,Veg,326,6,17,63
Idiyappam + Kurma,Dinner,Veg,378,13,14,132
Paneer Roll,Fast Food,Veg,438,25,16,132
Chettinad Chicken + Rice,Dinner,Non-Veg,623,38,22,189
Masala Vada Pav,Fast Food,Veg,312,8,13,62
Meals (Light),Dinner,Veg,465,20,14,145
Idly (4 pcs) + Sambar + Chutney,Breakfast,Veg,428,16,8,62
Curd Rice + Pickle,Dinner,Veg,368,8,10,119
Fish Biryani,Lunch,Non-Veg,736,53,29,292
Puttu + Kadala Curry,Breakfast,Veg,470,14,10,127
Chicken Momos,Fast Food,Non-Veg,426,29,17,194
"Meals (Sambar, Rasam, Kootu, Rice, Papad, Pickle)",Lunch,Veg,742,17,14,135
Chicken 65,Snacks,Non-Veg,489,31,16,213
Sugarcane Juice,Breakfast,Veg,87,0,0,34
Paneer Roll,Fast Food,Veg,454,19,22,209
Kozhukattai,Snacks,Veg,261,8,8,42
Fish Bajji,Snacks,Non-Veg,285,27,24,116
Fish and Chips,Fast Food,Non-Veg,674,39,40,337
Margherita Pizza,Fast Food,Veg,756,28,36,466
Medu Vada + Sambar,Breakfast,Veg,283,12,21,65
Fish Bajji,Snacks,Non-Veg,429,29,17,108
Fish and Chips,Fast Food,Non-Veg,630,45,39,392
Egg Pongal,Breakfast,Non-Veg,488,19,12,79
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,694,39,32,245
Chicken Kadai + Idly,Breakfast,Non-Veg,423,34,16,236
Veg Briyani,Lunch,Veg,641,15,21,177
Chicken Lollipop,Snacks,Non-Veg,433,28,21,125
Bajji (Onion/Plantain),Snacks,Veg,207,7,15,21
Meals (Full Thali),Lunch,Veg,834,20,19,242
Dosai + Chicken Curry,Dinner,Non-Veg,450,39,20,137
Chappatti + Kurma,Dinner,Veg,366,11,18,117
Fish Curry + Rice,Lunch,Non-Veg,496,43,15,201
Kottu Parotta (Mutton),Lunch,Non-Veg,905,43,29,347
Poori + Kurma,Breakfast,Veg,493,11,23,87
Chicken Biryani (Ambur Style),Lunch,Non-Veg,747,55,29,214
Chicken Burger,Fast Food,Non-Veg,468,39,26,159
Fish Curry + Rice,Lunch,Non-Veg,553,38,20,250
Margherita Pizza,Fast Food,Veg,843,24,29,490
Thengai Paal Dosai,Breakfast,Veg,327,8,10,100
Idly + Chicken Kurma,Dinner,Non-Veg,478,31,24,144
Parotta + Veg Salna,Breakfast,Veg,530,15,21,85
Veg Burger,Fast Food,Veg,514,11,15,100
Squid Fry + Rice,Lunch,Non-Veg,610,34,14,268
Crab Curry + Rice,Lunch,Non-Veg,688,32,13,351
Meals (Light),Dinner,Veg,590,15,10,139
Rose Milk,Snacks,Veg,279,9,7,57
Poha (Aval) + Chutney,Snacks,Veg,257,5,13,42
Parotta + Veg Salna,Breakfast,Veg,574,14,25,156
Chicken Burger,Fast Food,Non-Veg,464,45,27,209
Parotta + Mutton Salna,Lunch,Non-Veg,864,40,44,191
Bread + Omelette,Breakfast,Veg,280,9,12,105
Veg Momos,Fast Food,Veg,357,10,7,151
Cheese Veg Burger,Fast Food,Veg,575,18,22,159
Prawn Masala + Rice,Lunch,Non-Veg,684,47,16,485
Fresh Sugarcane Juice,Snacks,Veg,106,0,0,22
Murukku,Snacks,Veg,359,8,21,35
Rose Milk,Snacks,Veg,226,10,8,40
Mutton Samosa,Snacks,Non-Veg,329,24,24,35
Rasam Rice,Lunch,Veg,402,11,7,68
Pongal + Chutney,Dinner,Veg,385,10,16,92
Aappam + Veg Stew,Dinner,Veg,443,13,6,143
Mango Juice,Breakfast,Veg,207,1,1,56
Veg Burger,Fast Food,Veg,493,13,15,120
Parotta + Chicken Salna,Dinner,Non-Veg,808,44,39,140
Tender Coconut Water,Snacks,Veg,50,1,1,40
Pongal + Sambar + Chutney,Breakfast,Veg,457,11,15,105
Veg Momos,Fast Food,Veg,360,12,6,137
Rose Milk,Snacks,Veg,238,8,4,31
Prawn Masala + Rice,Dinner,Non-Veg,486,39,19,409
Masala Dosai,Breakfast,Veg,418,14,9,85
Kottu Parotta (Veg),Lunch,Veg,600,15,15,154
Samosa,Snacks,Veg,272,4,19,42
Mutton Samosa,Snacks,Non-Veg,386,16,21,46
Idly (4 pcs) + Sambar + Chutney,Breakfast,Veg,338,11,5,61
Omelette + Bread,Breakfast,Non-Veg,296,22,22,60
Fish Bajji,Snacks,Non-Veg,308,29,13,137
Fish and Chips,Fast Food,Non-Veg,750,34,26,417
Samosa,Snacks,Veg,214,5,15,53
Samosa,Snacks,Veg,203,7,17,26
Paneer Tikka Pizza,Fast Food,Veg,887,28,27,344
Parotta + Kurma,Breakfast,Veg,538,14,26,114
Parotta + Veg Salna,Breakfast,Veg,483,11,21,154
Kozhukattai,Snacks,Veg,253,5,7,53
Parotta + Mutton Salna,Lunch,Non-Veg,723,54,50,347
Jigarthanda,Snacks,Veg,332,11,15,118
Tomato Rice,Dinner,Veg,465,11,12,71
Paneer Roll,Snacks,Veg,475,18,17,138
Jigarthanda,Snacks,Veg,414,11,9,124
Chicken Lollipop,Snacks,Non-Veg,376,25,19,214
Ghee Dosai,Breakfast,Veg,475,10,26,104
Fish and Chips,Fast Food,Non-Veg,707,32,35,426
Ven Pongal,Breakfast,Veg,356,10,17,82
Chicken Biryani,Dinner,Non-Veg,619,46,28,161
Keerai Dosai,Breakfast,Veg,282,6,10,102
Egg Fried Rice,Fast Food,Non-Veg,500,31,12,187
Chicken Noodles,Fast Food,Non-Veg,703,40,26,151
Curd Rice + Pickle,Dinner,Veg,377,11,12,59
Jigarthanda,Snacks,Veg,313,8,13,108
Thaen Kaapi (Honey Coffee),Breakfast,Veg,140,1,4,54
Mutton Samosa,Snacks,Non-Veg,335,16,28,30
Paneer Roll,Snacks,Veg,472,19,21,155
Aappam + Veg Stew,Dinner,Veg,388,7,6,119
Sugarcane Juice,Breakfast,Veg,112,1,0,33
Parotta + Kurma,Breakfast,Veg,554,14,29,96
Mutton Samosa,Snacks,Non-Veg,394,21,26,57
Veg Momos,Fast Food,Veg,395,9,9,114
Paneer Roll,Snacks,Veg,515,16,22,100
Kottu Parotta (Veg),Dinner,Veg,651,15,16,122
Fresh Fruit Juice,Breakfast,Veg,101,2,0,82
Sambar Rice,Lunch,Veg,491,20,9,78
Variety Rice (Festival Special),Lunch,Veg,477,11,11,140
Kottu Parotta (Chicken),Lunch,Non-Veg,595,46,26,219
Mango Juice,Breakfast,Veg,153,1,0,75
Margherita Pizza,Fast Food,Veg,614,28,28,428
Idiyappam + Coconut Milk,Breakfast,Veg,381,10,10,121
Parotta + Veg Salna,Dinner,Veg,550,15,35,123
Chappatti + Kurma,Dinner,Veg,499,11,13,76
Mutton Biryani,Lunch,Non-Veg,734,55,33,434
Curd Rice + Pickle,Lunch,Veg,359,11,7,66
Mango Juice,Breakfast,Veg,209,3,2,113
Fish Biryani,Lunch,Non-Veg,848,58,27,214
Veg Momos,Fast Food,Veg,324,12,10,85
Paniyaram + Chutney,Breakfast,Veg,381,12,18,70
Chicken Momos,Fast Food,Non-Veg,358,33,19,150
Egg Curry + Rice,Dinner,Non-Veg,527,22,15,131
Fish and Chips,Fast Food,Non-Veg,580,40,26,245
Aappam + Veg Stew,Dinner,Veg,371,13,12,88
Masala Vada Pav,Fast Food,Veg,385,11,18,57
Chicken Zinger Burger,Fast Food,Non-Veg,555,40,34,336
Aappam + Veg Stew,Dinner,Veg,373,12,15,143
Set Dosai + Sambar,Breakfast,Veg,423,10,14,98
Kottu Parotta (Mutton),Lunch,Non-Veg,881,42,25,346
Mutton Samosa,Snacks,Non-Veg,324,15,14,74
Pongal + Sambar + Chutney,Breakfast,Veg,354,11,16,87
Paal Pongal,Breakfast,Veg,326,10,17,108
Rasam Rice,Lunch,Veg,280,15,10,84
Chicken Lollipop,Snacks,Non-Veg,323,23,16,152
Prawn Masala + Rice,Lunch,Non-Veg,677,46,19,380
Mutton Samosa,Snacks,Non-Veg,294,16,16,62
Plain Dosai + Chutney,Breakfast,Veg,293,6,6,66
Chappatti + Dal Fry,Lunch,Veg,420,22,12,139
Omelette + Bread,Breakfast,Non-Veg,401,19,20,110
Veg Burger,Fast Food,Veg,386,17,21,106
Mutton Meals (Full),Lunch,Non-Veg,860,61,34,272
Chicken Zinger Burger,Fast Food,Non-Veg,698,40,35,253
Parotta + Mutton Salna,Lunch,Non-Veg,791,44,33,254
Keerai Dosai,Breakfast,Veg,267,10,9,63
Kottu Parotta (Veg),Dinner,Veg,566,10,24,103
Corn Chaat,Snacks,Veg,254,8,3,97
Keerai Dosai,Breakfast,Veg,227,10,11,86
Jigarthanda,Snacks,Veg,362,10,13,105
Chicken Biryani,Dinner,Non-Veg,790,47,29,267
Rose Milk,Snacks,Veg,183,6,7,55
Mutton Seekh Roll,Fast Food,Non-Veg,762,51,18,266
Paneer Roll,Fast Food,Veg,457,19,20,229
French Fries,Fast Food,Veg,321,4,17,182
Aappam + Stew,Breakfast,Veg,331,7,6,115
Prawn Bajji,Snacks,Non-Veg,442,21,26,180
Samosa,Snacks,Veg,331,5,16,21
Plain Dosai + Chutney,Dinner,Veg,206,6,13,64
Fish Bajji,Snacks,Non-Veg,318,23,21,110
Egg Biryani,Lunch,Non-Veg,592,35,26,214
Fish Fry + Rice,Lunch,Non-Veg,521,52,24,256
Fresh Lemon Juice,Snacks,Veg,64,1,0,33
Chicken Noodles,Fast Food,Non-Veg,628,30,16,201
Samosa,Snacks,Veg,226,6,13,36
Prawn Bajji,Snacks,Non-Veg,420,24,19,126
Kozhukattai,Snacks,Veg,235,7,6,59
Paneer Roll,Fast Food,Veg,487,21,25,160
Coconut Rice,Lunch,Veg,500,11,21,99
Paneer Tikka Pizza,Fast Food,Veg,766,26,36,317
Tamarind Rice (Puliyodharai),Lunch,Veg,409,10,10,102
Chicken Burger,Fast Food,Non-Veg,575,32,19,232
Bonda + Chutney,Snacks,Veg,289,6,10,40
Keema Parotta,Breakfast,Non-Veg,679,34,36,132
French Fries,Fast Food,Veg,357,6,24,153
Kottu Parotta (Chicken),Dinner,Non-Veg,737,35,29,217
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,584,58,20,256
Prawn Masala + Rice,Dinner,Non-Veg,614,36,22,343
Paneer Tikka Pizza,Fast Food,Veg,879,26,39,472
Set Dosai + Sambar,Breakfast,Veg,448,8,8,68
Rasam Rice,Lunch,Veg,320,9,5,83
Paniyaram + Chutney,Breakfast,Veg,321,13,16,84
Idly + Sambar,Dinner,Veg,298,8,3,52
Aloo Bonda,Snacks,Veg,315,5,20,26
Chicken Fried Rice,Fast Food,Non-Veg,701,35,24,301
Chicken Tikka Pizza,Fast Food,Non-Veg,855,39,41,671
Variety Rice (Festival Special),Lunch,Veg,501,8,21,83
Parotta + Chicken Salna,Lunch,Non-Veg,719,33,33,235
Idly (2 pcs) + Sambar + Chutney,Breakfast,Veg,207,12,8,31
Fish Biryani,Lunch,Non-Veg,830,53,18,241
French Fries,Fast Food,Veg,371,6,22,194
Corn Chaat,Snacks,Veg,295,8,3,42
Rava Dosai,Breakfast,Veg,349,5,8,72
Nannari Sherbet,Breakfast,Veg,142,0,1,43
Kottu Parotta (Chicken),Dinner,Non-Veg,623,39,20,223
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,715,52,29,153
Chicken Meals (Full),Lunch,Non-Veg,914,45,31,239
Fresh Fruit Juice,Breakfast,Veg,125,3,1,54
Plain Dosai + Chutney,Dinner,Veg,203,10,5,61
Samosa,Snacks,Veg,295,8,17,25
Chicken Zinger Burger,Fast Food,Non-Veg,706,39,31,293
Chicken Lollipop,Snacks,Non-Veg,353,23,26,128
Prawn Bajji,Snacks,Non-Veg,347,27,20,134
Sambar Rice,Dinner,Veg,496,20,10,97
French Fries,Fast Food,Veg,374,5,22,182
Fish Bajji,Snacks,Non-Veg,417,19,16,122
Idly (2 pcs) + Sambar + Chutney,Breakfast,Veg,260,12,5,46
Omelette + Bread,Breakfast,Non-Veg,348,20,24,120
Parotta + Kurma,Breakfast,Veg,544,14,18,135
Chicken Roll / Kathi Roll,Fast Food,Non-Veg,679,31,21,195
Prawn Bajji,Snacks,Non-Veg,440,28,18,82
Tomato Rice,Dinner,Veg,359,6,8,87
Chettinad Chicken + Rice,Dinner,Non-Veg,774,58,21,253
Veg Momos,Fast Food,Veg,359,13,12,141
Mutton Kuzhambu + Rice,Lunch,Non-Veg,799,61,38,239
Fish Biryani,Dinner,Non-Veg,852,38,23,220
Cheese Veg Burger,Fast Food,Veg,641,18,24,181
Sambar Rice,Lunch,Veg,373,17,13,65
Rava Dosai,Breakfast,Veg,255,10,13,62
Plain Dosai + Chutney,Dinner,Veg,254,7,5,74
Plain Dosai + Chutney,Dinner,Veg,255,8,8,58
Poori + Kurma,Breakfast,Veg,513,13,22,95
Paal Pongal,Breakfast,Veg,411,8,22,98
Parotta + Veg Salna,Lunch,Veg,520,16,23,129
Chicken Burger,Fast Food,Non-Veg,604,37,18,158
Rava Dosai,Breakfast,Veg,292,6,11,92
Onion Dosai,Breakfast,Veg,252,7,14,73
Idiyappam + Kurma,Dinner,Veg,427,10,15,127
Peas Pulao + Raita,Lunch,Veg,569,17,15,175
Masala Vada Pav,Fast Food,Veg,431,9,12,90
Fish Bajji,Snacks,Non-Veg,413,24,14,106
Fresh Fruit Juice,Breakfast,Veg,118,2,2,61
Parotta + Mutton Salna,Dinner,Non-Veg,776,47,46,229
Kottu Parotta (Chicken),Dinner,Non-Veg,681,36,23,187
Fish Curry + Rice,Dinner,Non-Veg,472,34,21,234
Parotta + Veg Salna,Lunch,Veg,613,10,31,142
Paneer Roll,Snacks,Veg,381,22,16,158
Sugarcane Juice,Breakfast,Veg,90,1,1,39
Thaen Kaapi (Honey Coffee),Breakfast,Veg,101,1,6,73
Curd Rice + Pickle,Dinner,Veg,365,9,12,115
Kottu Parotta (Veg),Lunch,Veg,669,12,24,179
Curd Rice + Pickle,Dinner,Veg,312,10,8,61
Curd Rice + Pickle,Lunch,Veg,365,9,6,89
Margherita Pizza,Fast Food,Veg,734,24,28,234
Thaen Kaapi (Honey Coffee),Breakfast,Veg,66,2,6,42
Filter Coffee,Breakfast,Veg,83,1,3,39
Veg Burger,Fast Food,Veg,515,12,14,113
Parotta + Mutton Salna,Lunch,Non-Veg,981,41,37,340
Variety Rice (Festival Special),Lunch,Veg,388,12,20,97
Peas Pulao + Raita,Lunch,Veg,409,12,18,111
Corn Chaat,Snacks,Veg,286,5,9,54
Idiyappam + Coconut Milk,Breakfast,Veg,323,5,5,111
Sundal (Kadala/Peas),Snacks,Veg,214,10,4,43
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,785,49,32,209
Paal Pongal,Breakfast,Veg,368,10,14,69
Tender Coconut Water,Snacks,Veg,69,2,1,66
Veg Noodles,Fast Food,Veg,538,10,22,168
Chicken Lollipop,Snacks,Non-Veg,381,30,18,141
Filter Coffee,Breakfast,Veg,97,2,6,58
Chicken Zinger Burger,Fast Food,Non-Veg,693,46,26,218
Prawn Bajji,Snacks,Non-Veg,352,21,15,111
Cheese Veg Burger,Fast Food,Veg,655,19,21,205
Chicken Meals (Full),Lunch,Non-Veg,786,47,24,220
Fresh Sugarcane Juice,Snacks,Veg,112,0,0,51
Plain Dosai + Chutney,Dinner,Veg,229,9,10,53
Bonda + Chutney,Snacks,Veg,318,10,20,29
Chicken 65,Snacks,Non-Veg,519,39,30,151
Medu Vada + Sambar,Breakfast,Veg,343,7,19,90
Idly + Chicken Kurma,Dinner,Non-Veg,445,41,13,162
Squid Fry + Rice,Lunch,Non-Veg,592,45,15,255
Fish and Chips,Fast Food,Non-Veg,769,40,38,424
Chappatti + Kurma,Breakfast,Veg,350,17,8,63
Chicken Biryani (Ambur Style),Lunch,Non-Veg,724,36,21,151
Fresh Sugarcane Juice,Snacks,Veg,109,0,0,39
Chicken Noodles,Fast Food,Non-Veg,630,40,19,244
Kozhukattai,Snacks,Veg,270,8,6,76
Puttu + Kadala Curry,Breakfast,Veg,469,20,14,107
Cheese Veg Burger,Fast Food,Veg,452,22,19,264
Keerai Dosai,Breakfast,Veg,347,12,13,93
Pongal + Vada + Sambar,Dinner,Veg,446,14,17,83
Veg Burger,Fast Food,Veg,479,14,21,182
Parotta + Mutton Salna,Dinner,Non-Veg,922,50,50,318
Corn Chaat,Snacks,Veg,238,4,4,40
Chicken 65,Snacks,Non-Veg,355,30,26,155
Dosai + Chicken Curry,Dinner,Non-Veg,624,31,19,128
Curd Rice + Pickle,Lunch,Veg,418,11,7,82
Peas Pulao + Raita,Lunch,Veg,539,17,14,159
Vada + Sambar,Snacks,Veg,305,11,16,82
Set Dosai + Sambar,Breakfast,Veg,455,10,10,110
Dosai + Chicken Curry,Dinner,Non-Veg,626,43,15,233
Chicken Tikka Pizza,Fast Food,Non-Veg,983,41,31,420
Paneer Tikka Pizza,Fast Food,Veg,978,29,39,318
Chappatti + Kurma,Breakfast,Veg,460,13,14,66
Upma + Chutney,Breakfast,Veg,264,9,8,81
Veg Fried Rice,Fast Food,Veg,597,11,14,175
Parotta + Chicken Salna,Dinner,Non-Veg,843,45,23,172
Veg Burger,Fast Food,Veg,444,16,15,160
Plain Dosai + Chutney,Breakfast,Veg,267,6,6,79
Chicken 65,Snacks,Non-Veg,459,38,25,214
Vada + Sambar,Snacks,Veg,285,7,14,96
Bonda + Chutney,Snacks,Veg,307,5,10,41
Filter Coffee,Breakfast,Veg,106,1,4,59
Fish Curry + Rice,Dinner,Non-Veg,644,41,23,231
Margherita Pizza,Fast Food,Veg,602,21,31,364
Omelette + Bread,Breakfast,Non-Veg,400,26,15,114
Sundal (Kadala/Peas),Snacks,Veg,206,13,7,50
Cheese Veg Burger,Fast Food,Veg,644,19,33,254
Chettinad Chicken + Rice,Dinner,Non-Veg,611,54,34,269
Fish and Chips,Fast Food,Non-Veg,735,38,25,436
Chappatti + Dal Fry,Lunch,Veg,428,14,8,83
Idly (2 pcs) + Sambar + Chutney,Breakfast,Veg,239,9,3,38
Paneer Roll,Snacks,Veg,430,20,24,115
Chicken Momos,Fast Food,Non-Veg,460,24,12,139
Chicken Puff,Snacks,Non-Veg,359,28,26,118
Chicken Tikka Pizza,Fast Food,Non-Veg,1032,34,45,572
Kottu Parotta (Chicken),Lunch,Non-Veg,578,37,22,257
Bajji (Onion/Plantain),Snacks,Veg,221,7,18,23
Veg Noodles,Fast Food,Veg,391,13,13,133
Rose Milk,Snacks,Veg,255,5,7,61
Thengai Paal Dosai,Breakfast,Veg,386,9,16,110
Peas Pulao + Raita,Lunch,Veg,524,12,9,137
Rose Milk,Snacks,Veg,186,6,5,66
Meals (Light),Dinner,Veg,669,19,9,72
Parotta + Veg Salna,Dinner,Veg,573,11,21,118
Idly + Chicken Kurma,Dinner,Non-Veg,506,42,21,210
Mutton Biryani,Lunch,Non-Veg,957,48,43,408
Bread + Omelette,Breakfast,Veg,391,11,14,67
Veg Briyani,Lunch,Veg,662,11,18,214
Kozhukattai,Snacks,Veg,244,7,10,77
Bajji (Onion/Plantain),Snacks,Veg,230,7,13,40
Chicken Burger,Fast Food,Non-Veg,621,31,22,219
Bread + Omelette,Breakfast,Veg,400,8,17,70
Veg Briyani,Lunch,Veg,521,16,15,217
Kottu Parotta (Veg),Dinner,Veg,655,12,14,127
Cheese Veg Burger,Fast Food,Veg,536,17,19,295
Jigarthanda,Snacks,Veg,381,8,8,124
Sambar Rice,Dinner,Veg,371,13,10,106
Masala Vada Pav,Fast Food,Veg,329,10,13,84
Chettinad Chicken + Rice,Dinner,Non-Veg,656,52,33,159
Idly + Sambar,Dinner,Veg,271,14,5,47
Sambar Rice,Dinner,Veg,494,18,14,129
Idly (2 pcs) + Sambar + Chutney,Breakfast,Veg,255,9,2,55
Dosai + Chicken Curry,Dinner,Non-Veg,603,34,23,172
Fish Fry + Rice,Lunch,Non-Veg,645,53,23,243
Meals (Full Thali),Lunch,Veg,925,22,21,142
Egg Puff,Snacks,Non-Veg,340,13,20,33
